block_type,grid,variant,mean_offdiag_cka
gru,8,real_4dir,0.46736591557661694
gru,8,same_row_4,0.48229633768399555
gru,16,real_4dir,0.4634417196114858
gru,16,same_row_4,0.48082758486270905
gru,32,real_4dir,0.385672390460968
gru,32,same_row_4,0.3958936333656311
mamba,8,real_4dir,0.3271595264474551
mamba,8,same_row_4,0.34460848569869995
mamba,16,real_4dir,0.28520168860753375
mamba,16,same_row_4,0.345232034722964
mamba,32,real_4dir,0.2711952527364095
mamba,32,same_row_4,0.29983343929052353
