dataset,block_type,variant,grid,sequence_length,micro_batch,accum_steps,effective_batch,status,epoch1_sec,epoch2_sec,mean_epoch_sec,speedup_vs_micro8,peak_allocated_mb,peak_reserved_mb,peak_nvidia_memory_mb,mean_power_w,error
cifar10,gru,real_4dir,8,64,8,16,128,ok,1.183425143000001,1.183425143000001,1.183425143000001,1.0,34.55615234375,52.0,292.0,24.490000000000002,
cifar10,gru,real_4dir,8,64,32,4,128,ok,0.15877355899999657,0.15877355899999657,0.15877355899999657,7.4535404412017146,60.451171875,74.0,278.0,24.28,
cifar10,gru,real_4dir,8,64,64,2,128,ok,0.23655428800000067,0.23655428800000067,0.23655428800000067,5.002763437541228,92.84521484375,114.0,264.0,24.46,
cifar10,gru,real_4dir,8,64,128,1,128,ok,0.3581627339999969,0.3581627339999969,0.3581627339999969,3.304154873354332,156.9462890625,198.0,262.0,24.49,
cifar10,gru,real_4dir,16,256,8,16,128,ok,0.1358053509999948,0.1358053509999948,0.1358053509999948,1.0,59.7421875,74.0,306.0,24.46,
cifar10,gru,real_4dir,16,256,32,4,128,ok,0.16527766200000116,0.16527766200000116,0.16527766200000116,0.8216800102121111,152.48876953125,196.0,314.0,24.5,
cifar10,gru,real_4dir,16,256,64,2,128,ok,0.23262148599999932,0.23262148599999932,0.23262148599999932,0.583803987048708,278.3486328125,344.0,340.0,25.01,
cifar10,gru,real_4dir,16,256,128,1,128,ok,0.38510664100000014,0.38510664100000014,0.38510664100000014,0.3526434928448683,530.8984375,642.0,262.0,25.68,
cifar10,gru,real_4dir,32,1024,8,16,128,ok,0.2928485070000022,0.2928485070000022,0.2928485070000022,1.0,229.2724609375,302.0,396.0,26.7,
cifar10,gru,real_4dir,32,1024,32,4,128,ok,0.3379971239999975,0.3379971239999975,0.3379971239999975,0.866423073469715,527.4560546875,640.0,286.0,25.54,
cifar10,gru,real_4dir,32,1024,64,2,128,ok,0.40169674699999547,0.40169674699999547,0.40169674699999547,0.7290288238256645,1027.3779296875,1226.0,266.0,30.99,
cifar10,gru,real_4dir,32,1024,128,1,128,ok,0.6326828320000004,0.6326828320000004,0.6326828320000004,0.46286779439591624,2028.07568359375,2438.0,266.0,44.44,
cifar10,mamba,real_4dir,8,64,8,16,128,ok,0.3948045349999987,0.3948045349999987,0.3948045349999987,1.0,31.19580078125,36.0,264.0,38.4,
cifar10,mamba,real_4dir,8,64,32,4,128,ok,0.21995171900000088,0.21995171900000088,0.21995171900000088,1.7949599884690925,65.51904296875,90.0,268.0,25.98,
cifar10,mamba,real_4dir,8,64,64,2,128,ok,0.23721432100000328,0.23721432100000328,0.23721432100000328,1.6643368466779593,111.95703125,136.0,264.0,24.86,
cifar10,mamba,real_4dir,8,64,128,1,128,ok,0.3520789310000012,0.3520789310000012,0.3520789310000012,1.1213523452785004,206.16064453125,226.0,264.0,24.55,
cifar10,mamba,real_4dir,16,256,8,16,128,ok,0.19419021699999917,0.19419021699999917,0.19419021699999917,1.0,61.8349609375,86.0,282.0,24.37,
cifar10,mamba,real_4dir,16,256,32,4,128,ok,0.18903861699999425,0.18903861699999425,0.18903861699999425,1.027251574740441,189.61669921875,208.0,332.0,24.58,
cifar10,mamba,real_4dir,16,256,64,2,128,ok,0.23979734899999983,0.23979734899999983,0.23979734899999983,0.8098096905983698,366.7421875,382.0,264.0,25.18,
cifar10,mamba,real_4dir,16,256,128,1,128,ok,0.41951241399999617,0.41951241399999617,0.41951241399999617,0.46289504319650704,701.80126953125,812.0,264.0,27.16,
cifar10,mamba,real_4dir,32,1024,8,16,128,ok,0.16547472599999935,0.16547472599999935,0.16547472599999935,1.0,266.9521484375,302.0,528.0,24.25,
cifar10,mamba,real_4dir,32,1024,32,4,128,ok,0.2710843800000049,0.2710843800000049,0.2710843800000049,0.6104177820942556,686.27685546875,800.0,382.0,24.97,
cifar10,mamba,real_4dir,32,1024,64,2,128,ok,0.426440711000005,0.426440711000005,0.426440711000005,0.3880368870316357,1355.3251953125,1538.0,266.0,40.31,
cifar10,mamba,real_4dir,32,1024,128,1,128,ok,0.9481286799999964,0.9481286799999964,0.9481286799999964,0.1745277086228422,2691.98486328125,2938.0,266.0,40.91,
