dataset,block_type,variant,branch_dirs,pos_mode,seed,best_acc,last_acc,param_count,elapsed_sec,skipped,skip_reason
cifar10,gru,row,row,xy_learned,0,0.7192,0.7192,55178,664.4284708499908,False,
cifar10,gru,row,row,xy_learned,1,0.7152,0.7118,55178,611.0461740493774,False,
cifar10,gru,row,row,xy_learned,2,0.7228,0.7228,55178,604.0264813899994,False,
cifar10,gru,col,col,xy_learned,0,0.7174,0.7174,55178,616.3844776153564,False,
cifar10,gru,col,col,xy_learned,1,0.7141,0.7141,55178,617.408837556839,False,
cifar10,gru,col,col,xy_learned,2,0.7181,0.712,55178,622.8700165748596,False,
cifar10,gru,real_4dir,"row,col,diag,anti_diag",xy_learned,0,0.7515,0.7515,218762,791.1188597679138,False,
cifar10,gru,real_4dir,"row,col,diag,anti_diag",xy_learned,1,0.7551,0.7551,218762,813.1331038475037,False,
cifar10,gru,real_4dir,"row,col,diag,anti_diag",xy_learned,2,0.7501,0.7484,218762,807.7173538208008,False,
cifar10,gru,same_row_4,"row,row,row,row",xy_learned,0,0.7505,0.749,218762,806.2202687263489,False,
cifar10,gru,same_row_4,"row,row,row,row",xy_learned,1,0.7471,0.7466,218762,796.0148403644562,False,
cifar10,gru,same_row_4,"row,row,row,row",xy_learned,2,0.7583,0.7583,218762,792.8716497421265,False,
cifar10,mamba,row,row,xy_learned,0,0.7594,0.7594,70538,682.6874659061432,False,
cifar10,mamba,row,row,xy_learned,1,0.7558,0.7558,70538,682.0194039344788,False,
cifar10,mamba,row,row,xy_learned,2,0.758,0.7497,70538,680.3900911808014,False,
cifar10,mamba,col,col,xy_learned,0,0.75,0.75,70538,684.8613588809967,False,
cifar10,mamba,col,col,xy_learned,1,0.7475,0.7449,70538,698.7755951881409,False,
cifar10,mamba,col,col,xy_learned,2,0.7453,0.7398,70538,712.0427687168121,False,
cifar10,mamba,real_4dir,"row,col,diag,anti_diag",xy_learned,0,0.7907,0.7907,280202,1021.6544630527496,False,
cifar10,mamba,real_4dir,"row,col,diag,anti_diag",xy_learned,1,0.7863,0.7863,280202,1035.3337802886963,False,
cifar10,mamba,real_4dir,"row,col,diag,anti_diag",xy_learned,2,0.7777,0.7724,280202,1040.0994808673859,False,
cifar10,mamba,same_row_4,"row,row,row,row",xy_learned,0,0.7816,0.7816,280202,993.0502972602844,False,
cifar10,mamba,same_row_4,"row,row,row,row",xy_learned,1,0.778,0.7761,280202,1035.9006786346436,False,
cifar10,mamba,same_row_4,"row,row,row,row",xy_learned,2,0.7758,0.7754,280202,1038.1025762557983,False,
